Unnamed: 0,genres,overview
55,[],"['set', 'modern', 'times', 'alex', 'find', 'king', 'arthur', 's', 'sword', 'excalibur', 'must', 'prove', 'worthy', 'it']"
83,[],"['filmed', 'entirely', 'location', 'east', 'hampton', 'long', 'island', 'last', 'summer', 'hamptons', 'concern', 'large', 'theatrical', 'family', 'spending', 'last', 'weekend', 'summer', 'together', 'decades', 'old', 'family', 'retreat', 'economic', 'circumstance', 'forced', 'put', 'market', 'victoria', 'foyt', 'play', 'young', 'hollywood', 'actress', 'whose', 'visit', 'wreaks', 'havoc', 'stellar', 'group', 'family', 'friend', 'led', 'matriarch', 'viveca', 'lindfors', 'made', 'extraordinary', 'mix', 'prominent', 'new', 'york', 'actors', 'directors', 'playwrights', 'course', 'unusual', 'weekend', 'comic', 'well', 'serious', 'situation', 'arise', 'family', 's', 'secret', 'many', 'begin', 'unravel']"
126,[],"['michel', 'negroponte', 'documentary', 'filmmaker', 'meet', 'maggie', 'one', 'day', 'central', 'park', 'maggie', 'claim', 'married', 'god', 'jupiter', 'daughter', 'actor', 'robert', 'ryan', 'michel', 'get', 'know', 'maggie', 'next', 'couple', 'years', 'attempt', 'use', 'often', 'outlandish', 'story', 'clue', 'reconstruct', 'past', 'written', 'james', 'meek']"
137,[],"['subtle', 'yet', 'violent', 'commentary', 'feudal', 'lords']"
390,[],"['jackie', 'eugene', 'joined', 'mystical', 'wind', 'tunnel', 'enables', 'speak', 'across', 'mile', 'desert', 'believed', 'indian', 'omen', 'good', 'luck', 'wind', 'inspires', 'character', 'face', 'fear', 'follow', 'hearts']"
398,[],"['greed', 'playing', 'hand', 'providence', 'provides', 'focus', 'mexican', 'comedy', 'adapted', 'novel', 'jorge', 'ibarguengoitia', 'marcos', 'architect', 'ha', 'returned', 'home', 'wealthy', 'uncle', 'ramon', 'squandering', 'money', 'mexico', 'city', 'subsequently', 'finding', 'falsely', 'accused', 'crime', 'although', 'flat', 'broke', 'conceals', 'ramon', 'telling', 'ha', 'returned', 'home', 'buy', 'local', 'gold', 'mine', 'marcos', 'find', 'lie', 'come', 'easily', 'begin', 'trying', 'induce', 'uncle', 'fund', 'endeavor', 'irascible', 'ramon', 'like', 'marcos', 'similar', 'love', 'drinking', 'smoking', 'duped', 'ramon', 's', 'son', 'fooled', 'marcos', 'threat', 'fear', 'placed', 'will', 'soon', 'trying', 'out', 'manipulate', 'other', 'even', 'ramon', 'innocent', 'appears', 'involved', 'mayhem']"
401,[],"['providence', 's', 'italian', 'neighborhood', 'federal', 'hill', 'five', 'young', 'immersed', 'drugs', 'crime', 'violence', 'everything', 'change', 'one', 'guy', 'band', 'know', 'love']"
554,[],"['bean', 'poor', 'proud', 'hated', 'all', 'alive', 'sense', 'struggle', 'lot', 'support', 'time', 'trouble', 'earlene', 'life', 'across', 'street', 'bean', 's', 'trailer', 'view', 'window', 'better', 'daytime', 'television', 'soap', 'opera', 'especially', 'beal', 'bean', 'especially', 'beal', 'bean', 'shirtless', 'reuben', 'bean', 'sent', 'prison', 'resisting', 'arrest', 'out', 'of', 'season', 'deer', 'hunting', 'beal', 'take', 'reuben', 's', 'woman', 'roberta', 'also', 'ha', 'child', 'earlene', 'triangle', 'sex', 'complicated', 'poverty']"
595,[],"['art', 'kane', 'deceased', 'coordinated', 'group', 'photograph', 'top', 'jazz', 'musician', 'nyc', 'year', 'piece', 'esquire', 'magazine', 'every', 'jazz', 'musician', 'time', 'showed', 'photo', 'shoot', 'took', 'place', 'front', 'brownstone', 'near', 'th', 'street', 'station', 'documentary', 'compiles', 'interview', 'many', 'musician', 'photograph', 'talk', 'day', 'photograph', 'show', 'film', 'footage', 'taken', 'day', 'milt', 'hinton', 'wife']"
614,[],"['modern', 'affair', 'independent', 'feature', 'directed', 'vern', 'oakley', 'produced', 'tribe', 'pictures', 'starring', 'stanley', 'tucci', 'lisa', 'eichhorn', 'film', 's', 'plot', 'revers', 'convention', 'romantic', 'comedies', 'instead', 'man', 'meet', 'woman', 'fall', 'love', 'marry', 'baby', 'film', 'woman', 'get', 'pregnant', 'meet', 'father', 'fall', 'love', 'grace', 'rhodes', 'lisa', 'eichhorn', 'lonely', 'successful', 'executive', 'whose', 'biological', 'clock', 'loudly', 'ticking']"
620,[],"['easter', 'weekend', 'inner', 'city', 'project', 'three', 'people', 'struggle', 'demon', 'try', 'find', 'redemption', 'maxine', 'window', 'dresser', 'depressed', 'since', 'abortion', 'lost', 'lover', 'jordan', 'boxer', 'ha', 'indulged', 'gay', 'bashing', 'the', 'general', 'drug', 'dealer', 'turned', 'artist']"
648,[],"['movie', 'normal', 'guy', 'called', 'billy', 'apples', 'social', 'drinker', 'sometimes', 'lead', 'singer', 'band', 'this', 'still', 'manages', 'bring', 'teenage', 'daughter', 'one', 'night', 'sitting', 'home', 'billy', 'find', 'ha', 'talent', 'find', 'able', 'sing', 'like', 'idol', 's', 'singer', 'billie', 'holiday', 'going', 'places', 'huge', 'live', 'performance', 'even', 'cutting', 'hit', 'record', 'end', 'must', 'make', 'choice', 'life', 'has', 'life', 'knew', 'written', 'graham', 'wilson', 'jr']"
661,[],"['academy', 'award', 'winner', 'mira', 'sorvino', 'play', 'photographer', 'diane', 'di', 'sorella', 'poignant', 'homecoming', 'story', 'mother', 'dy', 'suddenly', 'diane', 'must', 'return', 'new', 'jersey', 'home', 'year', 'estranged', 'family', 'among', 'italian', 'american', 'neighbors', 'diane', 'connects', 'heritage', 'read', 'journal', 'mother', 'maryann', 'urbano', 'kept', 'young', 'woman', 'diane', 'finally', 'begin', 'understand', 'relationship', 'mother', 'heritage']"
671,[],"['directed', 'french', 'filmmaker', 'claude', 'chabrol', 'documentary', 'examines', 'nazi', 'vichy', 'newsreel', 'propaganda', 'film', 'world', 'war', 'ii', 'meant', 'turn', 'french', 'jew', 'allied', 'force', 'nazi', 'sympathizers', 'movie', 'made', 'archive', 'pictures', 'official', 'newsreel', 'broadcasted', 'french', 'movie', 'screen', 'the', 'occupation']"
