,genres
0,"['Animation', 'Comedy', 'Family']"
1,"['Adventure', 'Fantasy', 'Family']"
2,"['Romance', 'Comedy']"
3,"['Comedy', 'Drama', 'Romance']"
4,['Comedy']
5,"['Action', 'Crime', 'Drama', 'Thriller']"
6,"['Comedy', 'Romance']"
7,"['Action', 'Adventure', 'Drama', 'Family']"
8,"['Action', 'Adventure', 'Thriller']"
9,"['Adventure', 'Action', 'Thriller']"
10,"['Comedy', 'Drama', 'Romance']"
11,"['Comedy', 'Horror']"
12,"['Family', 'Animation', 'Adventure']"
13,"['History', 'Drama']"
14,"['Action', 'Adventure']"
15,"['Drama', 'Crime']"
16,"['Drama', 'Romance']"
17,"['Crime', 'Comedy']"
18,"['Crime', 'Comedy', 'Adventure']"
19,"['Action', 'Comedy', 'Crime']"
20,"['Comedy', 'Thriller', 'Crime']"
21,"['Drama', 'Thriller']"
22,"['Action', 'Adventure', 'Crime', 'Thriller']"
23,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']"
24,"['Drama', 'Romance']"
25,['Drama']
26,"['Comedy', 'Drama', 'Family']"
27,"['Drama', 'Romance']"
28,"['Fantasy', 'Science Fiction', 'Adventure']"
29,"['Drama', 'Crime']"
30,"['Drama', 'Crime']"
31,"['Science Fiction', 'Thriller', 'Mystery']"
32,"['Fantasy', 'Drama', 'Comedy', 'Family']"
33,"['History', 'Drama', 'Romance']"
34,['Drama']
35,"['Adventure', 'History', 'Drama', 'Family']"
36,"['Comedy', 'Family', 'Romance']"
37,"['Comedy', 'Drama', 'Romance']"
38,['Drama']
39,"['Drama', 'War']"
40,"['Action', 'Crime', 'Drama', 'History']"
41,"['Drama', 'Romance']"
42,"['Action', 'Fantasy']"
43,"['Fantasy', 'Drama', 'Comedy', 'Thriller']"
44,"['Drama', 'Romance']"
45,"['Crime', 'Mystery', 'Thriller']"
46,"['Adventure', 'Animation', 'Drama', 'Family']"
47,"['Drama', 'Romance']"
48,"['Drama', 'Crime', 'Thriller']"
49,"['Action', 'Thriller', 'Drama']"
50,"['Comedy', 'Romance']"
51,"['Drama', 'Foreign']"
52,"['Action', 'Adventure', 'Comedy', 'Family']"
53,['Drama']
